ID_PERGUNTA,ID_QUESTIONARIO,TITULO,CL_PERGUNTA,Ordem,Coluna1,PERGUNTA
1982,644,Missão e Plano de Desenvolvimento Institucional,Institucional,1,MsãoPDI,A missão* da UFPR é coerente com as necessidades locais e regionais.
1983,644,Missão e Plano de Desenvolvimento Institucional,Institucional,2,MsãoPDI,"Percebe-se que a sociedade reconhece a relevância da UFPR na construção de uma sociedade inclusiva, equânime e solidária, reflexo de sua missão* e valores**. "
1984,644,Missão e Plano de Desenvolvimento Institucional,Institucional,3,MsãoPDI,"Enquanto servidor (docente ou técnico), tenho familiaridade com o Plano de Desenvolvimento Institucional (PDI)* da UFPR.		"
1985,644,Missão e Plano de Desenvolvimento Institucional,Institucional,4,MsãoPDI,Percebo o envolvimento de diversos atores da unidade em que atuo na construção e revisão do Plano de Desenvolvimento Institucional (PDI).
1986,644,Missão e Plano de Desenvolvimento Institucional,Institucional,5,MsãoPDI,Os objetivos estratégicos do Plano de Desenvolvimento Institucional (PDI) para o quinquênio 2022-2026 estão alinhados à missão* e visão** da instituição.
1987,644,Missão e Plano de Desenvolvimento Institucional,Institucional,6,MsãoPDI,Há articulação entre o Plano de Desenvolvimento Institucional (PDI) e o Projeto Pedagógico Institucional (PPI).
1988,644,Missão e Plano de Desenvolvimento Institucional,Institucional,7,MsãoPDI,"Há coerência entre o Plano de Desenvolvimento Institucional (PDI) e as ações institucionais de ensino, pesquisa, extensão, inovação, internacionalização e gestão."
1989,644,Missão e Plano de Desenvolvimento Institucional,Institucional,8,MsãoPDI,As ações de diversidade e inclusão na universidade condizem com as metas estabelecidas no Plano de Desenvolvimento Institucional (PDI).
1990,644,Missão e Plano de Desenvolvimento Institucional,Institucional,9,MsãoPDI,"As ações voltadas à memória, ao patrimônio cultural e à produção artística na universidade estão de acordo com as metas estabelecidas no Plano de Desenvolvimento Institucional (PDI)."
1991,644,Missão e Plano de Desenvolvimento Institucional,Institucional,10,MsãoPDI,As ações de preservação do meio-ambiente e de desenvolvimento sustentável na universidade estão em sintonia com as metas estabelecidas no Plano de Desenvolvimento Institucional (PDI).
