COD_DISCIPLINA,NOME_DISCIPLINA,COD_CURSO,MULTIPLA_ESCOLHA,CURSO,IDPROGRAMA,SETOR_CURSO
EAS171,POLUIÇÃO DOS AMBIENTES COSTEIROS E MARINHOS,40001016027G0,Não,ENGENHARIA AMBIENTAL E SANITÁRIA  - Presencial - Pontal do Paraná,40001016027G0,CENTRO DE ESTUDOS DO MAR
EAS172-EAD,QUALIDADE DA ÁGUA,40001016027G0,Não,ENGENHARIA AMBIENTAL E SANITÁRIA  - Presencial - Pontal do Paraná,40001016027G0,CENTRO DE ESTUDOS DO MAR
EAS174,GEOPROCESSAMENTO,40001016027G0,Não,ENGENHARIA AMBIENTAL E SANITÁRIA  - Presencial - Pontal do Paraná,40001016027G0,CENTRO DE ESTUDOS DO MAR
PP015,CÁLCULO NUMÉRICO,40001016027G0,Não,ENGENHARIA AMBIENTAL E SANITÁRIA  - Presencial - Pontal do Paraná,40001016027G0,CENTRO DE ESTUDOS DO MAR
PP035-EAD,BIOQUÍMICA,40001016027G0,Não,ENGENHARIA AMBIENTAL E SANITÁRIA  - Presencial - Pontal do Paraná,40001016027G0,CENTRO DE ESTUDOS DO MAR
HF0007,LÓGICA I,40001016047G0,Não,FILOSOFIA  - Presencial - Curitiba,40001016047G0,SETOR DE CIÊNCIAS HUMANAS
HF0009,FILOSOFIA MEDIEVAL I,40001016047G0,Não,FILOSOFIA  - Presencial - Curitiba,40001016047G0,SETOR DE CIÊNCIAS HUMANAS
HF0012,TEORIA DO CONHECIMENTO,40001016047G0,Não,FILOSOFIA  - Presencial - Curitiba,40001016047G0,SETOR DE CIÊNCIAS HUMANAS
HF1505,TÓPICOS ESPECIAIS EM FILOSOFIA CONTEMPORÂNEA I,40001016047G0,Não,FILOSOFIA  - Presencial - Curitiba,40001016047G0,SETOR DE CIÊNCIAS HUMANAS
TC512,CARACTERIZAÇÃO GEOLÓGICA-GEOTÉCNICA,40001016030G0,Não,ENGENHARIA CIVIL  - Presencial - Curitiba,40001016030G0,SETOR DE TECNOLOGIA
TC513,MECÂNICA DOS SÓLIDOS II,40001016030G0,Não,ENGENHARIA CIVIL  - Presencial - Curitiba,40001016030G0,SETOR DE TECNOLOGIA
TC514,MATERIAIS DE CONSTRUÇÃO CIVIL II,40001016030G0,Não,ENGENHARIA CIVIL  - Presencial - Curitiba,40001016030G0,SETOR DE TECNOLOGIA
TC592,ENGENHARIA CIVIL E SUSTENTABILIDADE,40001016030G0,Não,ENGENHARIA CIVIL  - Presencial - Curitiba,40001016030G0,SETOR DE TECNOLOGIA
TH504,HIDRÁULICA,40001016030G0,Não,ENGENHARIA CIVIL  - Presencial - Curitiba,40001016030G0,SETOR DE TECNOLOGIA
TH508,CIÊNCIAS DO AMBIENTE,40001016030G0,Não,ENGENHARIA CIVIL  - Presencial - Curitiba,40001016030G0,SETOR DE TECNOLOGIA
TT502,PLANEJAMENTO E OPERAÇÃO DE TRANSPORTES,40001016030G0,Não,ENGENHARIA CIVIL  - Presencial - Curitiba,40001016030G0,SETOR DE TECNOLOGIA
TA097,PATRIMÔNIO E TÉCNICAS RETROSPECTIVAS I,40001016005G0,Não,ARQUITETURA E URBANISMO  - Presencial - Curitiba,40001016005G0,SETOR DE TECNOLOGIA
TA105,ARQUITETURA III,40001016005G0,Não,ARQUITETURA E URBANISMO  - Presencial - Curitiba,40001016005G0,SETOR DE TECNOLOGIA
TA124,PLANEJAMENTO URBANO E REGIONAL I,40001016005G0,Não,ARQUITETURA E URBANISMO  - Presencial - Curitiba,40001016005G0,SETOR DE TECNOLOGIA
TA140,AMBIENTE CONSTRUÍDO III,40001016005G0,Não,ARQUITETURA E URBANISMO  - Presencial - Curitiba,40001016005G0,SETOR DE TECNOLOGIA
TA142,ESTÁGIO SUPERVISIONADO OBRIGATÓRIO,40001016005G0,Não,ARQUITETURA E URBANISMO  - Presencial - Curitiba,40001016005G0,SETOR DE TECNOLOGIA
TH053,SANEAMENTO URBANO II,40001016005G0,Não,ARQUITETURA E URBANISMO  - Presencial - Curitiba,40001016005G0,SETOR DE TECNOLOGIA
AV125,BIOTECNOLOGIA DA REPRODUÇÃO ANIMAL,40001016076G0,Não,MEDICINA VETERINÁRIA  - Presencial - Curitiba,40001016076G0,SETOR DE CIÊNCIAS AGRÁRIAS
BT017,FARMACOLOGIA APLICADA E TERAPÊUTICA,40001016076G0,Não,MEDICINA VETERINÁRIA  - Presencial - Curitiba,40001016076G0,SETOR DE CIÊNCIAS AGRÁRIAS
SC301,INTRODUÇÃO À CONTABILIDADE,40001016006G0,Não,CIÊNCIAS CONTÁBEIS  - Presencial - Curitiba,40001016006G0,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
CF109,FÍSICA I,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
CM311,CÁLCULO 1,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
TMEC200,INTRODUÇÃO À ENGENHARIA MECÂNICA,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
TMEC201,GEOMETRIA ANALÍTICA,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
TMEC202,LINGUAGEM DE PROGRAMAÇÃO,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
TMEC501,DESENHO MECÂNICO I,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
DS122,DESENVOLVIMENTO WEB I,40001016111G0,Não,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS  - Presencial - Curitiba,40001016111G0,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
DS211,SISTEMAS DE INFORMAÇÃO,40001016111G0,Não,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS  - Presencial - Curitiba,40001016111G0,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
BF099,FISIOLOGIA PARA FISIOTERAPIA I,40001016052G0,Não,FISIOTERAPIA  - Presencial - Curitiba,40001016052G0,SETOR DE CIÊNCIAS BIOLÓGICAS
BP086,PATOLOGIA GERAL APLICADA À FISIOTERAPIA,40001016052G0,Não,FISIOTERAPIA  - Presencial - Curitiba,40001016052G0,SETOR DE CIÊNCIAS BIOLÓGICAS
