ID_PERGUNTA,ID_QUESTIONARIO,QUESTIONARIO,CL_PERGUNTA,Ordem,Tipo_Pergunta,PERGUNTA
1942,604,"Políticas para o Ensino, a Pesquisa e a Extensão",Curso,1,PlAc,"O projeto pedagógico do curso promove a interdisciplinaridade, ou seja, o diálogo entre as disciplinas, favorecendo ao aluno novas percepções dos conteúdos."
1943,604,"Políticas para o Ensino, a Pesquisa e a Extensão",Curso,2,PlAc,"A organização do curso possibilita a formação plural (acadêmica, profissional e cidadã) do aluno."
1944,604,"Políticas para o Ensino, a Pesquisa e a Extensão",Curso,3,PlAc,A organização do curso favorece a articulação entre teorias estudadas e atividades práticas para o aprendizado profissional.
1945,604,"Políticas para o Ensino, a Pesquisa e a Extensão",Curso,4,PlAc,A flexibilidade curricular do curso promove autonomia ao estudante ao permitir a personalização do ensino.
1946,604,"Políticas para o Ensino, a Pesquisa e a Extensão",Curso,5,PlAc,"São efetivas as ações pedagógicas que fortalecem a indissociabilidade entre as atividades de ensino, pesquisa e extensão para o curso."
1947,604,"Políticas para o Ensino, a Pesquisa e a Extensão",Curso,6,PlAc,O curso oferta atividades de pesquisa* que ampliam a formação do aluno.
1948,604,"Políticas para o Ensino, a Pesquisa e a Extensão",Curso,7,PlAc,O curso oferta atividades de extensão* adequadas à formação do aluno.
1949,604,"Políticas para o Ensino, a Pesquisa e a Extensão",Curso,8,PlAc,O curso oferta diversas atividades formativas complementares* à formação do aluno.
1950,604,"Políticas para o Ensino, a Pesquisa e a Extensão",Curso,9,PlAc,"As normativas de estágio curricular estão implantadas na instituição, são claras e atendem aos propósitos de formação geral e específica do aluno."
1951,604,"Políticas para o Ensino, a Pesquisa e a Extensão",Curso,10,PlAc,"Na UFPR, as ações de cooperação internacional, políticas linguísticas e mobilidade acadêmica/intercâmbio nacional e internacional contribuem para o processo de produção do conhecimento e ampliação das experiências dos estudantes de graduação."
1952,604,"Políticas para o Ensino, a Pesquisa e a Extensão",Curso,11,PlAc,Há efetividade nas ações e políticas da UFPR que visam dirimir a evasão e o abandono nos cursos de graduação.
1811,605,Políticas de Comunicação com a Sociedade,Curso,14,PlAc,"As informações divulgadas no Portal da UFPR são objetivas e atualizadas, apresentando aspectos institucionais e acadêmicos relevantes."
